./15-puzzle.ucs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               2               inf
1               4               2.000000
2               10              2.500000
3               27              2.700000
4               75              2.777778
5               206             2.746667
6               548             2.660194
7               1466            2.675183
8               3941            2.688267
9               10609           2.691956
10              28423           2.679140
11              76283           2.683848
12              204273          2.677831
13              548657          2.685901
14              1469466         2.678296
15              3946715         2.685816
16              10570393                2.678276
17              28389974                2.685801
18              76038076                2.678343
Killed
