./hanoi_14x4.bfs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               4                       inf
1               19                      4.750000
2               88                      4.631579
3               415                     4.715909
4               2008                    4.838554
5               9871                    4.915837
6               49204                   4.984703
7               247795                  5.036074
8               1258312                 5.078036
9               6432331                 5.111873
10              33063208                        5.140160
Killed
