./hanoi_18x4.iddfs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               4                       inf
2               19                      4.750000
3               94                      4.947369
4               487                     5.180851
5               2596                    5.330595
6               14083                   5.424884
7               77458                   5.500106
8               430213                  5.554145
9               2408554                 5.598515
10              13569751                        5.633983
11              76856812                        5.663834
12              437239027                       5.689008
13              2496932224                      5.710680
14              14306094361                     5.729468
killed
