./hanoi_18x4.ucs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               1               inf
1               3               3.000000
2               15              5.000000
3               75              5.000000
4               393             5.240000
5               2109            5.366412
6               11487           5.446657
7               63375           5.517106
8               352755          5.566154
9               1978341         5.608258
10              11161197                5.641695
Killed
