./24-puzzle.iddfs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               3                       inf
2               7                       2.333333
3               17                      2.428571
4               43                      2.529412
5               107                     2.488372
6               267                     2.495327
7               639                     2.393258
8               1527                    2.389671
9               3523                    2.307138
10              8395                    2.382912
11              19719                   2.348898
12              47327                   2.400071
13              110851                  2.342236
14              265411                  2.394304
15              621247                  2.340698
16              1487255                 2.393983
17              3481003                 2.340556
18              8335115                 2.394458
19              19516119                        2.341434
20              46732751                        2.394572
21              109399155                       2.340952
22              261944371                       2.394391
23              613232239                       2.341078
24              1468358695                      2.394458
25              3437503835                      2.341052
26              8230926203                      2.394449
27              19269183847                     2.341071
0 estados en total.
