./24-puzzle.ucs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               2               inf
1               4               2.000000
2               10              2.500000
3               27              2.700000
4               79              2.925926
5               228             2.886076
6               676             2.964912
7               1935            2.862426
8               5720            2.956072
9               16392           2.865734
10              48490           2.958150
11              139026          2.867107
12              411278          2.958281
13              1179062         2.866825
14              3487950         2.958241
15              10000825                2.867250
16              29586574                2.958413
Killed
