./24-puzzle.iddfs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               3                       inf
2               9                       3.000000
3               27                      3.000000
4               87                      3.222222
5               285                     3.275862
6               969                     3.400000
7               3291                    3.396285
8               11391                   3.461258
9               39093                   3.431920
10              135969                  3.478091
11              467907                  3.441277
12              1629447                 3.482416
13              5611245                 3.443650
14              19546809                        3.483506
15              67324011                        3.444246
16              234542031                       3.483780
17              807855333                       3.444395
18              2814445329                      3.483848
19              9694165587                      3.444432
20              33773166807                     3.483865
0 estados en total.
