./topspin12x4.iddfs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               13                      inf
2               115                     8.846154
3               927                     8.060869
4               7329                    7.906149
5               57741                   7.878428
6               454643                  7.873833
7               3579455                 7.873111
8               28181057                        7.873002
9               221869069                       7.872986
10              1746771571                      7.872983
11              13752303583                     7.872983
killed
