./topspin12x4.iddfs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               13                      inf
2               157                     12.076923
3               1885                    12.006370
4               22621                   12.000530
5               271453                  12.000044
6               3257437                 12.000004
7               39089245                        12.000000
8               469070941                       12.000000
9               5628851293                      12.000000
killed
