./topspin17x4.iddfs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               18                      inf
2               205                     11.388889
3               2002                    9.765854
4               18624                   9.302697
5               171127                  9.188520
6               1569138                 9.169436
7               14388178                        9.169479
8               131954182                       9.171014
9               1210247170                      9.171722
10              11100301327                     9.171929
killed
