./topspin14x4.iddfs2 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               15                      inf
2               148                     9.866667
3               1296                    8.756757
4               11007                   8.493055
5               92871                   8.437449
6               782671                  8.427507
7               6594815                 8.426037
8               55567064                        8.425872
9               468200442                       8.425862
10              3944993409                      8.425864
11              33239982329                     8.425865
0 estados en total.
