 ./rubik3Sticker.iddfs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
1               19                      inf
2               343                     18.052631
3               6175                    18.002916
4               111151                  18.000162
5               2000719                 18.000010
6               36012943                        18.000002
7               648232975                       18.000000
8               11668193551                     18.000000
killed
